Event_Title,Event_Date,Event_Location,fighterA,fighterB,kdA,kdB,end_time,method,round,STRa,STRb,SubA,SubB,TDa,TDb,weight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Jamahal Hill,Thiago Santos,0,0,2:31,KO/TKO,4,89,53,0,0,0,6,Light Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Geoff Neal,Vicente Luque,2,0,2:01,KO/TKO,3,121,97,0,0,1,0,Welterweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Mohammed Usman,Zac Pauga,1,0,0:36,KO/TKO,2,12,32,0,0,0,0,Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Juliana Miller,Brogan Walker,0,0,3:57,KO/TKO,3,54,30,1,0,4,0,Women's Flyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Serghei Spivac,Augusto Sakai,0,0,3:42,KO/TKO,2,33,8,1,0,6,0,Heavyweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Terrance McKinney,Erick Gonzalez,0,0,2:17,SUB,1,18,9,1,0,1,0,Lightweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Michal Oleksiejczuk,Sam Alvey,2,0,1:56,KO/TKO,1,22,3,0,0,0,0,Middleweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Bryan Battle,Takashi Sato,1,0,0:44,KO/TKO,1,7,2,0,0,0,0,Welterweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Cory McKenna,Miranda Granger,0,0,1:03,SUB,2,13,13,2,0,3,0,Women's Strawweight
UFC Fight Night: Santos vs. Hill,6-Aug-22,"Las Vegas, Nevada, USA",Mayra Bueno Silva,Stephanie Egger,0,0,1:17,SUB,1,4,8,1,0,0,1,Women's Bantamweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Amanda Nunes,Julianna Pena,3,0,5:00,U-DEC,5,85,60,1,1,6,0,Women's Bantamweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Brandon Moreno,Kai Kara-France,1,0,4:34,KO/TKO,3,58,53,0,0,0,1,Flyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Sergei Pavlovich,Derrick Lewis,1,0,0:55,KO/TKO,1,15,4,0,0,0,0,Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Alexandre Pantoja,Alex Perez,0,0,1:31,SUB,1,8,10,1,0,1,0,Flyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Magomed Ankalaev,Anthony Smith,0,0,3:09,KO/TKO,2,46,18,0,0,0,0,Light Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Alex Morono,Matthew Semelsberger,0,1,5:00,U-DEC,3,106,74,0,0,0,1,Welterweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Drew Dober,Rafael Alves,1,0,1:30,KO/TKO,3,62,37,0,0,0,1,Lightweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Hamdy Abdelwahab,Don'Tale Mayes,1,0,5:00,S-DEC,3,58,47,0,0,3,0,Heavyweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Drakkar Klose,Rafa Garcia,0,0,5:00,U-DEC,3,61,34,0,0,2,3,Lightweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Michael Morales,Adam Fugitt,2,0,1:09,KO/TKO,3,83,64,0,0,0,1,Welterweight
UFC 277: Pena vs. Nunes 2,30-Jul-22,"Dallas, Texas, USA",Joselyne Edwards,Ji Yeon Kim,0,0,5:00,S-DEC,3,101,78,0,0,1,0,Women's Bantamweight
